City,Lat,Lng,Weather Description,Max Temp,Humidity,Wind Speed,Cloudiness,Country
Olinda,-8.0089,-34.8553,few clouds,80.33000000000004,69,4.12,20,BR
Hithadhoo,-0.6,73.0833,broken clouds,82.67000000000006,69,1.88,55,MV
Carnarvon,-24.8667,113.6333,overcast clouds,68.37800000000007,73,0.9,88,AU
Lloydminster,53.2835,-110.0016,broken clouds,62.81600000000001,67,5.14,75,CA
Nanortalik,60.1432,-45.2371,broken clouds,41.68399999999999,72,4.78,81,GL
Pevek,69.7008,170.3133,clear sky,36.35600000000003,73,2.77,0,RU
Jamestown,42.097,-79.2353,clear sky,80.942,62,2.78,3,US
Saint-Pierre,-21.3393,55.4781,clear sky,72.91400000000003,60,3.6,0,RE
Hobart,-42.8794,147.3294,broken clouds,45.266000000000005,86,3.6,75,AU
White Rock,49.0164,-122.8026,broken clouds,63.878000000000064,61,4.02,66,CA
Ormara,25.2088,64.6357,clear sky,81.5,88,4.53,0,PK
Peniche,39.3558,-9.3811,clear sky,66.11000000000008,89,2.4,4,PT
Tiksi,71.6872,128.8694,overcast clouds,43.37600000000009,70,3.2,100,RU
Buchanan,5.8808,-10.0467,overcast clouds,78.18800000000005,75,3.58,97,LR
Castro,-24.7911,-50.0119,clear sky,49.280000000000044,89,2.34,0,BR
Puerto Ayora,-0.7393,-90.3518,overcast clouds,78.76400000000004,87,3.13,96,EC
Bathsheba,13.2167,-59.5167,broken clouds,81.21200000000006,83,8.75,75,BB
Aklavik,68.2191,-135.0107,clear sky,59.72000000000006,39,3.14,0,CA
Jacareacanga,-6.2222,-57.7528,scattered clouds,76.96400000000003,95,0.8,50,BR
Mataura,-46.1927,168.8643,light rain,46.47200000000004,95,4.42,100,NZ
Kaitangata,-46.2817,169.8464,overcast clouds,41.09000000000002,89,7.21,98,NZ
Mar Del Plata,-38.0023,-57.5575,clear sky,57.092,69,2.06,0,AR
Necochea,-38.5473,-58.7368,overcast clouds,54.788000000000046,60,3.55,100,AR
Kavieng,-2.5744,150.7967,broken clouds,81.82400000000001,75,5.09,74,PG
Hilo,19.7297,-155.09,broken clouds,84.27200000000003,76,4.12,75,US
Faanui,-16.4833,-151.75,clear sky,80.40200000000007,68,9.28,6,PF
Ushuaia,-54.8,-68.3,clear sky,38.858000000000004,70,3.6,0,AR
Kahului,20.8947,-156.47,few clouds,84.21800000000009,62,8.05,20,US
Nakamura,32.9833,132.9333,light rain,67.28000000000004,99,1.94,100,JP
Upernavik,72.7868,-56.1549,few clouds,30.812000000000058,77,4.21,24,GL
Cape Town,-33.9258,18.4232,moderate rain,52.268000000000086,87,3.09,75,ZA
Cidreira,-30.1811,-50.2056,clear sky,61.952000000000076,86,6.17,0,BR
Hermanus,-34.4187,19.2345,light rain,49.80200000000008,70,4.51,34,ZA
Guerrero Negro,27.9769,-114.0611,clear sky,72.55400000000006,54,7.72,0,MX
Ahipara,-35.1667,173.1667,clear sky,59.09000000000002,77,5.6,3,NZ
Bosaso,11.2842,49.1816,clear sky,87.78200000000001,66,2.14,6,SO
Busselton,-33.65,115.3333,scattered clouds,61.05200000000008,67,5.7,25,AU
Arraial Do Cabo,-22.9661,-42.0278,scattered clouds,67.96400000000003,64,2.57,40,BR
Gaborone,-24.6545,25.9086,broken clouds,57.110000000000085,82,1.54,75,BW
Hasaki,35.7333,140.8333,overcast clouds,62.99600000000005,84,5.59,100,JP
Labytnangi,66.6572,66.4183,clear sky,52.23200000000001,65,1.16,7,RU
Tessalit,20.1986,1.0114,overcast clouds,96.20600000000003,17,5.93,90,ML
Vaini,-21.2,-175.2,few clouds,73.56200000000005,88,2.06,20,TO
Torbay,47.6666,-52.7314,overcast clouds,47.28200000000002,87,4.63,100,CA
Rikitea,-23.1203,-134.9692,broken clouds,72.95,71,3.91,59,PF
George Town,5.4112,100.3354,scattered clouds,82.32800000000006,91,1.03,40,MY
Karatau,43.1667,70.4667,overcast clouds,76.28000000000004,33,0.16,100,KZ
Ilulissat,69.2167,-51.1,overcast clouds,33.11600000000001,70,3.68,94,GL
Ivolginsk,51.7492,107.2837,light rain,55.05800000000001,82,1.0,100,RU
Zitlala,17.6333,-99.0833,overcast clouds,69.31400000000004,67,2.67,100,MX
Souillac,-20.5167,57.5167,scattered clouds,71.97800000000007,83,5.14,40,MU
Dulce Nombre De Culmi,15.1,-85.5333,overcast clouds,82.63399999999999,97,0.51,100,HN
Monroe,43.1501,-77.6831,scattered clouds,79.28600000000007,49,2.57,40,US
Tuatapere,-46.1333,167.6833,light rain,42.944000000000074,90,5.89,100,NZ
Gazli,40.1333,63.45,few clouds,87.18800000000005,15,4.47,18,UZ
Iskateley,67.6803,53.1512,scattered clouds,46.36400000000003,86,4.52,43,RU
Saint George,37.1041,-113.5841,clear sky,91.63399999999999,10,3.6,0,US
Basco,20.4487,121.9702,overcast clouds,84.59600000000005,71,2.56,100,PH
Port Augusta,-32.5,137.7667,clear sky,50.59400000000007,86,3.55,6,AU
Yellowknife,62.456,-114.3525,broken clouds,75.72200000000004,29,0.0,75,CA
Butaritari,3.0707,172.7902,overcast clouds,82.09400000000008,73,5.87,88,KI
Kapaa,22.0752,-159.319,few clouds,81.48200000000001,72,10.29,20,US
Albany,42.6001,-73.9662,few clouds,82.5260000000001,44,0.89,17,US
Praia Da Vitoria,38.7333,-27.0667,scattered clouds,66.45200000000008,88,1.54,40,PT
Goma,-1.6792,29.2228,clear sky,61.358000000000004,88,1.16,2,CD
Grand Gaube,-20.0064,57.6608,overcast clouds,71.99600000000005,70,2.68,98,MU
Yar-Sale,66.8333,70.8333,overcast clouds,49.49600000000005,65,4.06,100,RU
Cochrane,51.1834,-114.4687,overcast clouds,50.54000000000002,74,14.4,100,CA
Nikolskoye,59.7035,30.7861,light rain,56.912000000000056,96,5.28,100,RU
Tecoanapa,16.5167,-98.75,broken clouds,84.92000000000006,69,5.43,82,MX
Saint-Philippe,-21.3585,55.7679,scattered clouds,69.38600000000007,68,6.4,40,RE
Kenai,60.5544,-151.2583,overcast clouds,63.03200000000002,45,3.6,100,US
Kui Buri,12.0828,99.8543,overcast clouds,79.21400000000003,85,2.12,89,TH
Majene,-3.5403,118.9707,overcast clouds,76.71200000000006,90,2.77,93,ID
Ende,-8.8432,121.6623,moderate rain,76.08200000000002,91,1.88,59,ID
Kushima,31.4583,131.2333,overcast clouds,71.24000000000002,97,2.28,100,JP
Sorong,-0.8833,131.25,overcast clouds,78.17000000000006,85,2.89,100,ID
Westport,41.1415,-73.3579,clear sky,84.308,48,4.63,0,US
Codrington,-38.2667,141.9667,overcast clouds,51.854000000000056,71,8.76,100,AU
Cascais,38.6979,-9.4215,clear sky,76.35200000000007,68,2.57,0,PT
Jiuquan,39.7432,98.5174,clear sky,64.36400000000003,11,0.74,4,CN
Adrar,20.5022,-10.0711,light rain,92.15600000000003,29,1.15,31,MR
Quatre Cocos,-20.2078,57.7625,light rain,71.708,70,7.47,96,MU
Asau,46.4333,26.4,overcast clouds,61.952000000000076,82,1.42,100,RO
High Level,58.5169,-117.136,broken clouds,68.108,49,4.63,75,CA
Chuy,-33.6971,-53.4616,clear sky,55.32800000000007,86,2.53,8,UY
Shenjiamen,29.9576,122.298,overcast clouds,70.61000000000008,94,4.25,93,CN
Mumford,5.2618,-0.759,overcast clouds,79.142,84,7.18,90,GH
Jinka,5.65,36.65,light rain,64.00400000000005,80,1.43,91,ET
Thompson,55.7435,-97.8558,broken clouds,80.76200000000006,36,5.14,75,CA
Taoudenni,22.6783,-3.9836,clear sky,99.37400000000001,8,4.14,0,ML
Port Alfred,-33.5906,26.891,clear sky,61.23200000000001,53,11.0,8,ZA
Roald,62.5833,6.1333,broken clouds,56.33600000000007,87,2.57,75,NO
Kafue,-15.7691,28.1814,clear sky,56.78600000000007,60,1.38,0,ZM
Bluff,-46.6,168.3333,overcast clouds,46.79600000000005,72,13.59,100,NZ
Chapais,49.7834,-74.8492,overcast clouds,73.184,55,3.08,98,CA
Genhe,50.7833,121.5167,overcast clouds,54.75200000000008,99,0.35,100,CN
Barrow,71.2906,-156.7887,broken clouds,35.61800000000009,87,3.6,75,US
Tuktoyaktuk,69.4541,-133.0374,clear sky,48.2,49,3.6,0,CA
Airai,-8.9266,125.4092,overcast clouds,58.40600000000003,96,1.6,87,TL
Kiruna,67.8557,20.2251,moderate rain,47.31800000000008,93,2.06,100,SE
Fortuna,40.5982,-124.1573,clear sky,65.93000000000004,64,6.69,0,US
Hervey Bay,-25.2986,152.8535,overcast clouds,64.43600000000006,77,2.81,85,AU
Punta Arenas,-53.15,-70.9167,clear sky,41.108000000000004,75,5.66,0,CL
Kovdor,67.5662,30.4758,light rain,53.90600000000003,83,0.45,96,RU
El Vigia,8.6219,-71.6506,overcast clouds,82.184,80,2.03,97,VE
Miles City,46.4083,-105.8406,few clouds,68.97200000000004,32,11.32,20,US
San Angelo,31.4638,-100.437,broken clouds,99.95,31,3.58,75,US
Dikson,73.5069,80.5464,scattered clouds,32.09000000000002,81,4.19,36,RU
Taltal,-25.4,-70.4833,overcast clouds,58.80200000000008,77,3.37,88,CL
Grojec,51.8625,20.8676,clear sky,57.47000000000006,88,3.64,5,PL
Laguna,38.421,-121.4238,clear sky,89.29400000000007,19,5.66,0,US
Hualmay,-11.0964,-77.6139,clear sky,65.642,71,4.72,7,PE
Port Blair,11.6667,92.75,mist,78.83600000000007,94,1.03,40,IN
Tasiilaq,65.6145,-37.6368,overcast clouds,38.228000000000065,86,6.71,100,GL
Yasothon,15.75,104.1333,moderate rain,84.03800000000004,73,3.14,100,TH
Santa Rosa,14.3122,121.1114,overcast clouds,80.58200000000002,92,0.93,100,PH
Evinayong,1.4368,10.5512,overcast clouds,67.82000000000006,99,1.12,97,GQ
Vanavara,60.34,102.2797,scattered clouds,56.06600000000001,87,0.77,34,RU
Labuhan,-6.8844,112.2051,overcast clouds,77.52200000000003,89,3.59,87,ID
Atuona,-9.8,-139.0333,scattered clouds,77.12600000000009,78,8.76,41,PF
Utete,-7.986,38.758,clear sky,67.98200000000001,97,1.37,0,TZ
Saskylakh,71.9167,114.0833,clear sky,42.89000000000002,59,5.73,10,RU
Williams Lake,52.1415,-122.1445,scattered clouds,73.058,33,6.69,40,CA
Prince George,53.9166,-122.753,clear sky,69.26000000000008,38,5.66,0,CA
Chokurdakh,70.6333,147.9167,few clouds,68.86400000000003,28,3.54,20,RU
Samarai,-10.6167,150.6667,overcast clouds,81.03200000000001,80,4.82,97,PG
Lebu,-37.6167,-73.65,moderate rain,51.40400000000005,92,6.46,99,CL
Luanda,-8.8368,13.2343,few clouds,71.6,88,2.57,20,AO
Katsuura,35.1333,140.3,overcast clouds,60.81800000000008,92,7.63,100,JP
San Cristobal,7.7669,-72.225,overcast clouds,77.18000000000004,85,2.61,100,VE
Clyde River,70.4692,-68.5914,clear sky,41.233999999999995,81,4.63,0,CA
Cherskiy,68.75,161.3,clear sky,62.87000000000006,32,1.59,6,RU
Georgetown,5.4112,100.3354,scattered clouds,82.32800000000006,91,1.03,40,MY
Methoni,36.8197,21.7049,few clouds,77.21600000000001,77,3.95,18,GR
Lavrentiya,65.5833,-171.0,light rain,35.69000000000002,99,4.0,100,RU
Baykit,61.67,96.37,broken clouds,58.082000000000015,84,0.88,66,RU
Ponta Do Sol,32.6667,-17.1,few clouds,69.00800000000001,74,3.03,18,PT
Mayumba,-3.432,10.6554,overcast clouds,73.38200000000002,88,3.35,98,GA
Aden,12.7794,45.0367,few clouds,89.18600000000006,63,1.37,15,YE
Kuito,-12.3833,16.9333,clear sky,53.564000000000036,30,1.14,6,AO
Nukus,42.4531,59.6103,clear sky,76.98200000000001,33,2.06,0,UZ
Semporna,4.4818,118.6112,overcast clouds,79.57400000000001,81,1.17,100,MY
Mayo,38.8876,-76.5119,overcast clouds,84.12800000000007,72,0.89,100,US
Zhigansk,66.7697,123.3711,scattered clouds,56.102000000000075,79,1.96,38,RU
Coihaique,-45.5752,-72.0662,broken clouds,48.812000000000054,87,0.0,75,CL
Nantucket,41.2835,-70.0995,clear sky,78.908,56,2.57,0,US
Shelopugino,51.6514,117.5599,broken clouds,56.42600000000009,65,1.4,82,RU
Pampa,35.5362,-100.9599,clear sky,102.56000000000009,31,10.29,0,US
Egvekinot,66.3167,-179.1667,light snow,31.51400000000003,90,3.29,100,RU
Salinopolis,-0.6136,-47.3561,scattered clouds,79.95200000000008,80,5.46,30,BR
Mackay,-21.15,149.2,overcast clouds,69.11600000000001,72,3.99,100,AU
Anloga,5.7947,0.8973,overcast clouds,80.924,82,7.9,97,GH
Abu Dhabi,24.4667,54.3667,clear sky,95.108,64,2.57,0,AE
Hambantota,6.1241,81.1185,overcast clouds,80.24000000000002,82,7.15,100,LK
Bezhetsk,57.7851,36.6965,overcast clouds,54.266000000000005,97,3.41,91,RU
Nabire,-3.3667,135.4833,scattered clouds,74.13800000000005,91,1.54,32,ID
