City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Olinda,BR,80.33000000000004,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
1,Hithadhoo,MV,82.67000000000006,broken clouds,-0.6,73.0833,Scoop Guest House
6,Jamestown,US,80.942,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
10,Ormara,PK,81.5,clear sky,25.2088,64.6357,Kenara Colony House for Rent
13,Buchanan,LR,78.18800000000005,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
15,Puerto Ayora,EC,78.76400000000004,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
16,Bathsheba,BB,81.21200000000006,broken clouds,13.2167,-59.5167,Atlantis Hotel
18,Jacareacanga,BR,76.96400000000003,scattered clouds,-6.2222,-57.7528,Casa do Ian😎
23,Kavieng,PG,81.82400000000001,broken clouds,-2.5744,150.7967,Nusa Island Retreat
24,Hilo,US,84.27200000000003,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
25,Faanui,PF,80.40200000000007,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
27,Kahului,US,84.21800000000009,few clouds,20.8947,-156.47,Maui Seaside Hotel
35,Bosaso,SO,87.78200000000001,clear sky,11.2842,49.1816,Red Sea Hotel
45,George Town,MY,82.32800000000006,scattered clouds,5.4112,100.3354,Cititel Penang
46,Karatau,KZ,76.28000000000004,overcast clouds,43.1667,70.4667,Baza Zika
51,Dulce Nombre De Culmi,HN,82.63399999999999,overcast clouds,15.1,-85.5333,Hotel Zuniama
52,Monroe,US,79.28600000000007,scattered clouds,43.1501,-77.6831,Rodeway Inn Rochester Airport
54,Gazli,UZ,87.18800000000005,few clouds,40.1333,63.45,UTG Uy-joy kommunal xoʻjaligi
57,Basco,PH,84.59600000000005,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
59,Yellowknife,CA,75.72200000000004,broken clouds,62.456,-114.3525,The Explorer Hotel
60,Butaritari,KI,82.09400000000008,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
61,Kapaa,US,81.48200000000001,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
69,Tecoanapa,MX,84.92000000000006,broken clouds,16.5167,-98.75,Hotel Manglares
72,Kui Buri,TH,79.21400000000003,overcast clouds,12.0828,99.8543,Rista House & Resort
