City,Lat,Lng,Weather Description,Max Temp,Humidity,Wind Speed,Cloudiness,Country
Vaini,-21.2,-175.2,few clouds,80.76200000000006,74,3.6,20,TO
Busselton,-33.65,115.3333,overcast clouds,63.95,59,6.86,98,AU
Iqaluit,63.7506,-68.5145,broken clouds,50.73800000000004,57,2.44,64,CA
Jishou,28.3167,109.7167,overcast clouds,80.42000000000006,70,1.06,99,CN
Tianpeng,30.9866,103.9393,overcast clouds,79.71800000000009,57,2.0,100,CN
Kodiak,57.79,-152.4072,moderate rain,51.314000000000036,87,6.17,100,US
Kieta,-6.2167,155.6333,few clouds,84.90200000000007,66,1.76,11,PG
Hermanus,-34.4187,19.2345,light rain,46.79600000000005,72,4.53,37,ZA
Rikitea,-23.1203,-134.9692,overcast clouds,73.16600000000001,70,3.95,96,PF
Ribeira Grande,38.5167,-28.7,overcast clouds,64.81400000000004,94,4.84,92,PT
Luganville,-15.5333,167.1667,broken clouds,81.53600000000007,82,5.56,53,VU
Provideniya,64.3833,-173.3,overcast clouds,39.36200000000006,81,5.0,100,RU
Carnarvon,-24.8667,113.6333,overcast clouds,68.32400000000001,74,3.06,96,AU
Tessalit,20.1986,1.0114,broken clouds,93.93800000000005,19,4.41,79,ML
Bredasdorp,-34.5322,20.0403,light rain,47.516000000000005,89,3.35,36,ZA
Qaanaaq,77.484,-69.3632,overcast clouds,28.238000000000046,80,1.42,98,GL
Yellowknife,62.456,-114.3525,broken clouds,67.67600000000009,41,6.28,77,CA
Airai,-8.9266,125.4092,overcast clouds,66.29000000000002,78,1.74,96,TL
Punta Arenas,-53.15,-70.9167,broken clouds,35.11400000000003,82,2.82,77,CL
Avarua,-21.2078,-159.775,scattered clouds,82.45400000000005,69,5.66,40,CK
Srednekolymsk,67.45,153.6833,clear sky,72.24800000000002,23,1.54,4,RU
Kapaa,22.0752,-159.319,scattered clouds,85.98200000000001,71,9.77,40,US
Westport,41.1415,-73.3579,clear sky,75.81200000000005,54,3.09,0,US
Korla,41.7597,86.1469,clear sky,87.8,14,3.97,7,CN
Norman Wells,65.282,-126.8329,overcast clouds,45.55400000000005,88,3.87,100,CA
Port Elizabeth,-33.918,25.5701,moderate rain,55.09400000000007,84,6.71,18,ZA
Terrace,54.5163,-128.6035,overcast clouds,63.932000000000016,53,0.81,90,CA
Camocim,-2.9022,-40.8411,clear sky,74.48000000000005,81,5.01,0,BR
Buala,-8.145,159.5921,moderate rain,83.192,75,4.77,70,SB
Karratha,-20.7377,116.8463,clear sky,76.58600000000007,47,5.21,3,AU
Bonthe,7.5264,-12.505,broken clouds,78.11600000000001,77,2.76,63,SL
Mount Isa,-20.7333,139.5,clear sky,73.16600000000001,21,4.12,0,AU
Hastings,50.8552,0.5729,clear sky,59.32400000000001,90,3.74,3,GB
Necochea,-38.5473,-58.7368,overcast clouds,51.11600000000001,64,3.91,100,AR
Bethel,41.3712,-73.414,clear sky,73.76000000000008,70,1.49,0,US
Usinsk,65.9939,57.5281,overcast clouds,56.84000000000002,81,1.64,100,RU
Dikson,73.5069,80.5464,overcast clouds,35.312000000000054,74,3.7,100,RU
Jamestown,42.097,-79.2353,clear sky,68.52200000000003,88,1.62,0,US
New Norfolk,-42.7826,147.0587,overcast clouds,47.912000000000056,90,0.36,100,AU
Roald,62.5833,6.1333,overcast clouds,55.16600000000001,87,2.57,100,NO
Karksi-Nuia,58.1033,25.5628,overcast clouds,53.780000000000044,96,4.66,100,EE
Chuy,-33.6971,-53.4616,clear sky,52.34000000000002,91,3.0,2,UY
Hilo,19.7297,-155.09,few clouds,84.27200000000003,68,4.63,20,US
Torbay,47.6666,-52.7314,overcast clouds,42.27800000000006,91,5.66,100,CA
Sorland,67.667,12.6934,overcast clouds,48.056000000000026,85,5.28,100,NO
Ushuaia,-54.8,-68.3,scattered clouds,35.258,87,3.6,40,AR
Irbil,36.1926,44.0106,clear sky,78.38600000000007,32,0.53,0,IQ
Bilma,18.6853,12.9164,clear sky,87.65600000000003,36,2.65,6,NE
Port Alfred,-33.5906,26.891,few clouds,54.17600000000009,66,2.24,22,ZA
Karlskrona,56.1616,15.5866,overcast clouds,52.25,84,4.2,100,SE
Makushino,55.2103,67.2442,broken clouds,54.77000000000006,86,3.06,51,RU
Hithadhoo,-0.6,73.0833,overcast clouds,82.68800000000005,70,2.83,100,MV
Albany,42.6001,-73.9662,few clouds,68.41400000000003,67,2.03,18,US
Sabang,5.8933,95.3214,overcast clouds,80.38399999999999,81,11.94,100,ID
Pevek,69.7008,170.3133,broken clouds,36.788000000000046,75,3.24,78,RU
Tuktoyaktuk,69.4541,-133.0374,few clouds,39.88399999999999,68,5.52,11,CA
Ayr,55.4627,-4.6339,overcast clouds,55.38200000000002,71,1.03,100,GB
Tiksi,71.6872,128.8694,overcast clouds,41.918000000000085,77,3.8,100,RU
Palmer,42.1584,-72.3287,few clouds,70.97000000000006,68,2.57,20,US
Mileb,6.8986,124.5839,broken clouds,83.192,71,1.1,69,PH
Bluff,-46.6,168.3333,overcast clouds,46.79600000000005,74,11.67,100,NZ
Mataura,-46.1927,168.8643,light rain,46.47200000000004,94,4.23,100,NZ
Zhangjiakou,40.81,114.8794,overcast clouds,69.60200000000007,44,1.16,100,CN
Lebu,-37.6167,-73.65,overcast clouds,51.65600000000003,93,4.09,100,CL
Vila Velha,-20.3297,-40.2925,few clouds,66.93800000000005,79,2.06,20,BR
Sal Rei,16.1833,-22.9167,overcast clouds,72.68000000000004,84,7.63,95,CV
Piacabucu,-10.4056,-36.4344,broken clouds,75.23600000000008,88,5.89,67,BR
Viedma,-40.8135,-62.9967,clear sky,48.74000000000002,80,3.06,0,AR
Concepcion,-36.827,-73.0498,overcast clouds,49.80200000000008,100,3.09,100,CL
Bengkulu,-3.8004,102.2655,scattered clouds,77.48600000000008,84,1.73,33,ID
Cape Town,-33.9258,18.4232,light rain,50.918000000000085,91,0.45,7,ZA
Tamboril,19.4854,-70.611,thunderstorm,74.69600000000005,94,2.06,20,DO
Carlagan,14.975,122.0456,scattered clouds,86.61200000000005,66,1.45,32,PH
Rudbar,30.15,62.6,few clouds,90.42800000000007,15,1.59,20,AF
Cavalcante,-13.7975,-47.4583,few clouds,69.458,68,2.25,11,BR
Guarapari,-20.6667,-40.4975,overcast clouds,66.88399999999999,71,3.0,100,BR
Dalmatovo,56.26,62.9362,clear sky,54.08600000000007,82,3.38,9,RU
High Level,58.5169,-117.136,overcast clouds,73.56200000000005,35,3.17,100,CA
Porto Walter,-8.2686,-72.7439,scattered clouds,66.66800000000009,68,0.38,49,BR
Ancud,-41.8697,-73.8203,light rain,48.21800000000009,90,2.09,83,CL
Vila,42.0304,-8.1588,clear sky,58.082000000000015,45,1.69,0,PT
Vestmannaeyjar,63.4427,-20.2734,overcast clouds,49.71200000000006,77,7.28,100,IS
Codrington,-38.2667,141.9667,overcast clouds,56.408,77,8.95,100,AU
Wanaka,-44.7,169.15,broken clouds,42.188000000000045,93,2.28,51,NZ
Itarema,-2.9248,-39.9167,clear sky,74.33600000000007,77,4.49,6,BR
Mandurah,-32.55,115.7,light rain,58.91000000000008,73,5.57,67,AU
Georgetown,5.4112,100.3354,few clouds,82.32800000000006,87,1.03,20,MY
Narsaq,60.9167,-46.05,overcast clouds,46.61600000000001,54,2.32,100,GL
Faanui,-16.4833,-151.75,light rain,80.74400000000007,71,9.69,37,PF
Tasiilaq,65.6145,-37.6368,light rain,39.36200000000006,97,6.3,100,GL
Fukue,32.6881,128.8419,overcast clouds,71.924,84,2.45,93,JP
Longyearbyen,78.2186,15.6401,broken clouds,40.838000000000044,70,6.17,75,SJ
Hofn,64.2539,-15.2082,few clouds,49.64000000000002,79,4.11,15,IS
Samarai,-10.6167,150.6667,broken clouds,82.61600000000001,77,6.25,72,PG
Killybegs,54.6333,-8.45,broken clouds,51.29600000000005,88,3.38,66,IE
Fortuna,40.5982,-124.1573,few clouds,63.860000000000085,71,7.2,20,US
Fort Nelson,58.8053,-122.7002,overcast clouds,72.59000000000002,24,3.48,91,CA
Upernavik,72.7868,-56.1549,few clouds,29.42600000000009,81,5.44,19,GL
Olhao,37.0286,-7.8411,few clouds,72.28399999999999,78,2.57,20,PT
Humaita,-7.5061,-63.0208,overcast clouds,73.58000000000004,91,1.04,90,BR
Meybod,32.2501,54.0166,clear sky,83.066,11,5.06,0,IR
Saskylakh,71.9167,114.0833,clear sky,49.082000000000015,44,5.67,7,RU
Buin,-33.7333,-70.75,clear sky,55.05800000000001,78,1.16,7,CL
Vardo,70.3705,31.1107,overcast clouds,40.98200000000001,87,5.14,100,NO
Mar Del Plata,-38.0023,-57.5575,overcast clouds,52.088000000000044,84,6.71,100,AR
Luderitz,-26.6481,15.1594,clear sky,55.88600000000007,72,3.13,0,NA
Berlevag,70.8578,29.0864,overcast clouds,40.94600000000005,87,4.12,100,NO
Loyga,61.0784,44.6075,overcast clouds,57.68600000000007,85,2.14,100,RU
Mehamn,71.0357,27.8492,overcast clouds,40.91000000000008,88,4.15,100,NO
Seoul,37.5683,126.9778,light rain,61.98800000000004,88,3.6,100,KR
Victoria,22.2855,114.1577,overcast clouds,82.45400000000005,88,2.24,100,HK
Morondava,-20.2833,44.2833,clear sky,69.53000000000004,70,1.83,0,MG
La Rioja,42.25,-2.5,clear sky,60.58399999999999,49,3.05,0,ES
Saint Anthony,45.0205,-93.218,clear sky,91.32800000000006,43,6.69,0,US
Castro,-24.7911,-50.0119,scattered clouds,45.59000000000002,96,2.1,28,BR
Avera,33.194,-82.5271,scattered clouds,79.37600000000009,65,1.97,37,US
Anadia,-9.6844,-36.3042,light rain,69.51200000000006,95,0.24,4,BR
Nelson Bay,-32.7167,152.15,clear sky,62.99600000000005,67,0.89,0,AU
Thompson,55.7435,-97.8558,overcast clouds,75.36200000000005,57,6.17,100,CA
Los Llanos De Aridane,28.6585,-17.9182,clear sky,64.14800000000002,74,2.24,0,ES
Cidreira,-30.1811,-50.2056,clear sky,61.44800000000002,88,6.01,2,BR
Faya,18.3851,42.4509,broken clouds,68.52200000000003,15,3.42,60,SA
Tateyama,34.9833,139.8667,light rain,65.10200000000007,82,5.14,75,JP
Bandarbeyla,9.4942,50.8122,clear sky,78.89000000000001,73,11.06,5,SO
Mount Gambier,-37.8333,140.7667,overcast clouds,55.31000000000008,100,6.17,100,AU
Mahebourg,-20.4081,57.7,scattered clouds,71.88800000000005,78,4.63,40,MU
Thunder Bay,48.4001,-89.3168,overcast clouds,57.29000000000002,76,2.76,89,CA
Butaritari,3.0707,172.7902,overcast clouds,82.63399999999999,67,5.57,100,KI
Watsa,3.0372,29.5355,overcast clouds,62.168000000000085,98,0.65,92,CD
Ulladulla,-35.35,150.4667,scattered clouds,57.77600000000009,41,3.32,47,AU
Nikolskoye,59.7035,30.7861,overcast clouds,55.291999999999994,98,1.88,88,RU
Jablanica,43.6603,17.7617,clear sky,53.67200000000004,88,2.84,10,BA
Saint George,37.1041,-113.5841,clear sky,90.62600000000009,5,6.69,0,US
Paso De Los Toros,-32.8167,-56.5167,broken clouds,50.97200000000004,89,4.0,71,UY
Bambous Virieux,-20.3428,57.7575,scattered clouds,71.85200000000007,78,4.63,40,MU
Dieppe,49.75,1.1667,clear sky,59.18000000000004,93,3.11,0,FR
Mokhsogollokh,61.4681,128.9203,light rain,56.372000000000035,82,2.02,98,RU
Sulangan,11.1373,123.7228,light rain,83.42600000000009,72,2.49,47,PH
Khatanga,71.9667,102.5,clear sky,53.312000000000054,50,4.69,9,RU
Tamiahua,21.2667,-97.45,few clouds,79.7,84,5.64,14,MX
Faro,37.0194,-7.9322,few clouds,72.17600000000009,88,2.57,20,PT
Kalmar,56.6616,16.3616,overcast clouds,55.958000000000006,84,0.89,100,SE
Maniwaki,46.3834,-75.966,clear sky,62.00600000000003,79,1.59,9,CA
