City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kokopo,PG,2022-06-13 21:45:58,-4.352,152.2633,299.48,74,16,1.96
1,Vardo,NO,2022-06-13 21:45:59,70.3705,31.1107,280.14,87,100,2.06
2,Albany,US,2022-06-13 21:45:04,42.6001,-73.9662,299.85,41,1,1.34
3,Kibaya,TZ,2022-06-13 21:46:00,-5.3,36.5667,284.89,92,9,1.91
4,Mar Del Plata,AR,2022-06-13 21:46:01,-38.0023,-57.5575,288.16,58,0,2.57
5,Kavaratti,IN,2022-06-13 21:45:05,10.5669,72.642,301.79,75,95,6.04
6,Waingapu,ID,2022-06-13 21:46:02,-9.6567,120.2641,296.49,81,79,3.96
7,Mataura,NZ,2022-06-13 21:44:59,-46.1927,168.8643,279.53,93,97,6.17
8,Kabinda,CD,2022-06-13 21:46:03,-6.1333,24.4833,294.79,48,16,1.41
9,Vaini,TO,2022-06-13 21:45:01,-21.2,-175.2,299.24,83,40,2.57
10,Tessalit,ML,2022-06-13 21:46:05,20.1986,1.0114,308.11,19,84,5.73
11,Gweru,ZW,2022-06-13 21:46:05,-19.45,29.8167,283.36,56,0,2.09
12,Almansa,ES,2022-06-13 21:46:06,38.8692,-1.0971,298.94,27,84,1.78
13,Port Elizabeth,ZA,2022-06-13 21:44:29,-33.918,25.5701,292.65,56,0,1.03
14,Dawlatabad,AF,2022-06-13 21:46:07,36.4141,64.9053,301.37,25,0,2.52
15,Port Hedland,AU,2022-06-13 21:46:08,-20.3167,118.5667,289.18,63,0,3.09
16,Margate,GB,2022-06-13 21:46:08,51.3813,1.3862,287.21,74,20,1.34
17,New Glasgow,CA,2022-06-13 21:41:25,45.5834,-62.6486,289.14,95,100,2.69
18,Kismayo,SO,2022-06-13 21:46:10,-0.3582,42.5454,298.55,81,25,6.38
19,San Patricio,US,2022-06-13 21:44:24,28.017,-97.5169,307.55,49,68,10.03
20,Hobart,AU,2022-06-13 21:44:23,-42.8794,147.3294,277.07,92,75,2.06
